id_building,price_m2,easting,northing,id_cadas_com,floors_total,floor_entrance,year_built,year_ren_roof,year_ren_face,constr_type,elevator,house_type,no_appart,trans_date,floor_appartment,postion_type,duplex,living_area,total_area,year_ren_wind,year_ren_inst,floor_above_ground,dist_airport,dist_public_transport,elevation,dist_schools,dist_highway_entr,dist_highway,dist_railway,dist_recreation,dist_main_roads,dist_regional_roads,dist_river,construct_age,roof_age,facade_age,inst_age,windows_age
5314,2523,462450.71,103536.62,2636,11,1,1966-10-13,1997-10-13,1966-10-13,combination_of_different_materials,1,single,138,2012-11-09,6,floor,0,32.5,36.3,2006-10-13,2006-10-13,6,17419.5293,100,302,200,1044.03064,1000,500,1843.908936,141.4213562,1612.451538,1860.107544,16829,5506,16829,2219,2219
5315,952,462450.71,103536.62,2636,11,1,1966-10-13,1997-10-13,1966-10-13,combination_of_different_materials,1,single,138,2013-03-13,4,floor,0,42,45.5,2003-10-13,2000-10-13,4,17419.5293,100,302,200,1044.03064,1000,500,1843.908936,141.4213562,1612.451538,1860.107544,16953,5630,16953,4534,3439
5316,2542,462458.14,100075.34,2677,7,2,1963-10-13,2007-10-13,1963-10-13,combination_of_different_materials,0,raw,20,2010-04-15,2,floor,0,47.2,51.2,1998-10-13,1998-10-13,2,20750.9043,100,292,100,2247.220459,1969.771606,500,200,0,2912.043945,223.6067963,16986,915,16986,4202,4202
5317,2118,465007.54,103317.24,2680,9,1,1974-10-13,1974-10-13,1974-10-13,combination_of_different_materials,1,single,56,2013-05-08,6,floor,0,34,36.2,1974-10-13,1974-10-13,6,18352.11133,360.5551147,294,200,670.8203735,200,400,1236.931641,360.5551147,670.8203735,1077.032959,14087,14087,14087,14087,14087
5318,2941,462611.87,102692.42,2636,9,3,1997-10-13,1997-10-13,1997-10-13,combination_of_different_materials,1,raw,60,2010-09-27,2,floor,0,42.5,49.9,1997-10-13,1997-10-13,2,18243.90234,223.6067963,299,100,1802.775635,1726.2677,854.4003906,1615.549438,0,1984.943359,1700,4732,4732,4732,4732,4732
5319,3214,462611.87,102692.42,2636,9,3,1997-10-13,1997-10-13,1997-10-13,combination_of_different_materials,1,raw,60,2011-01-26,3,floor,0,42,47.3,1997-10-13,1997-10-13,3,18243.90234,223.6067963,299,100,1802.775635,1726.2677,854.4003906,1615.549438,0,1984.943359,1700,4853,4853,4853,4853,4853
5320,4751,462611.87,102692.42,2636,9,3,1997-10-13,1997-10-13,1997-10-13,combination_of_different_materials,1,raw,60,2009-12-28,2,floor,0,42.1,55,1997-10-13,1997-10-13,2,18243.90234,223.6067963,299,100,1802.775635,1726.2677,854.4003906,1615.549438,0,1984.943359,1700,4459,4459,4459,4459,4459
5321,3305,462611.87,102692.42,2636,9,3,1997-10-13,1997-10-13,1997-10-13,combination_of_different_materials,1,raw,60,2010-03-03,3,floor,0,46.9,57.5,1997-10-13,1997-10-13,3,18243.90234,223.6067963,299,100,1802.775635,1726.2677,854.4003906,1615.549438,0,1984.943359,1700,4524,4524,4524,4524,4524
5322,3195,461152.54,102482.84,1740,11,1,1963-10-13,2004-10-13,1963-10-13,combination_of_different_materials,1,single,139,2010-02-22,5,floor,0,24.1,28.7,2007-10-13,2007-10-13,5,18172.78125,0,302,300,1749.285522,1655.294556,500,282.8427124,0,3244.996094,1403.566895,16934,1958,16934,863,863
5323,2977,461152.54,102482.84,1740,11,1,1963-10-13,2004-10-13,1963-10-13,combination_of_different_materials,1,single,139,2010-10-18,4,floor,0,25.7,28.7,1963-10-13,1963-10-13,4,18172.78125,0,302,300,1749.285522,1655.294556,500,282.8427124,0,3244.996094,1403.566895,17172,2196,17172,17172,17172
5324,3140,461152.54,102482.84,1740,11,1,1963-10-13,2004-10-13,1963-10-13,combination_of_different_materials,1,single,139,2011-09-05,2,floor,1,37.9,43.8,1963-10-13,1963-10-13,2,18172.78125,0,302,300,1749.285522,1655.294556,500,282.8427124,0,3244.996094,1403.566895,17494,2518,17494,17494,17494
5325,3034,461152.54,102482.84,1740,11,1,1963-10-13,2004-10-13,1963-10-13,combination_of_different_materials,1,single,139,2011-09-05,2,floor,1,37.9,43.8,1963-10-13,1963-10-13,2,18172.78125,0,302,300,1749.285522,1655.294556,500,282.8427124,0,3244.996094,1403.566895,17494,2518,17494,17494,17494
5326,1931,461152.54,102482.84,1740,11,1,1963-10-13,2004-10-13,1963-10-13,combination_of_different_materials,1,single,139,2010-08-25,3,floor,0,51.8,56.7,1963-10-13,1963-10-13,3,18172.78125,0,302,300,1749.285522,1655.294556,500,282.8427124,0,3244.996094,1403.566895,17118,2142,17118,17118,17118
5327,2554,462877.2,102028.35,2636,10,1,1991-10-13,1991-10-13,1991-10-13,concrete,1,single,21,2010-07-15,3,floor,0,59.9,65.7,1991-10-13,1991-10-13,3,18993.15625,360.5551147,289,300,2376.9729,2247.220459,300,1523.154663,282.8427124,2416.609131,1044.03064,6850,6850,6850,6850,6850
5328,2233,464685.74,101517.14,1730,14,1,1970-10-13,1970-10-13,2012-10-13,combination_of_different_materials,1,single,71,2012-10-30,6,floor,0,30,32.5,2013-10-13,2013-10-13,6,19955.19922,141.4213562,285,100,1749.285522,1702.938599,200,984.8858032,100,1749.285522,100,15358,15358,17,15358,15358
5329,2848,464685.74,101517.14,1730,14,1,1970-10-13,1970-10-13,2012-10-13,combination_of_different_materials,1,single,71,2008-07-09,1,floor,0,30.2,31.4,1970-10-13,1970-10-13,1,19955.19922,141.4213562,285,100,1749.285522,1702.938599,200,984.8858032,100,1749.285522,100,13784,13784,13784,13784,13784
5330,3269,464685.74,101517.14,1730,14,1,1970-10-13,1970-10-13,2012-10-13,combination_of_different_materials,1,single,71,2010-03-09,3,floor,0,26,26.9,1970-10-13,1970-10-13,3,19955.19922,141.4213562,285,100,1749.285522,1702.938599,200,984.8858032,100,1749.285522,100,14392,14392,14392,14392,14392
5331,2341,458721.57,98577.36,1723,3,1,2003-10-13,2003-10-13,2003-10-13,combination_of_different_materials,0,single,16,2013-04-11,2,ground_floor,0,50.4,50.4,2003-10-13,2003-10-13,2,21900.22852,1140.175415,293,300,583.0952148,447.2135925,538.5164795,2549.509766,761.5773315,538.5164795,360.5551147,3468,3468,3468,3468,3468
5332,1551,461577.72,103666.65,1740,4,2,1955-10-13,1955-10-13,1955-10-13,brick,0,single,6,2013-04-03,1,floor,0,43.2,45.3,1955-10-13,1955-10-13,1,17065.75586,100,304,300,921.9544678,806.225769,223.6067963,1565.247559,948.6832886,2280.35083,2280.35083,20992,20992,20992,20992,20992
5333,2235,464285.83,106498.73,1756,4,2,2008-10-13,2008-10-13,2008-10-13,concrete,0,single,7,2009-08-10,2,floor,0,102.9,107.7,2008-10-13,2008-10-13,2,15115.88574,316.2277527,288,200,2353.720459,2213.594482,0,1170.469971,141.4213562,400,100,301,301,301,301,301
5334,2116,464285.83,106498.73,1756,4,2,2008-10-13,2008-10-13,2008-10-13,concrete,0,single,7,2009-08-07,2,floor,0,113.4,118.2,2008-10-13,2008-10-13,2,15115.88574,316.2277527,288,200,2353.720459,2213.594482,0,1170.469971,141.4213562,400,100,298,298,298,298,298
5335,1579,463769.35,107034.33,1756,5,1,1988-10-13,1988-10-13,1988-10-13,concrete,0,raw,26,2013-01-18,2,floor,0,76,87.7,1988-10-13,1988-10-13,2,14466.8584,223.6067963,301,200,2731.300049,2596.150879,600,1000,447.2135925,1029.562988,223.6067963,8863,8863,8863,8863,8863
5336,1754,461185.89,100292.73,2679,7,1,1962-10-13,1962-10-13,1962-10-13,brick,0,double,29,2010-04-28,4,floor,0,50.8,62.7,1962-10-13,2010-10-13,4,20366.63867,141.4213562,294,0,2334.523438,2012.461182,360.5551147,1118.033936,100,2416.609131,316.2277527,17364,17364,17364,17364,17364
5337,2423,462993.35,100699.49,1727,7,1,1988-10-13,1988-10-13,1988-10-13,concrete,0,raw,30,2010-11-10,2,floor,0,74.3,83.5,1988-10-13,1988-10-13,2,20282.99805,100,292,100,3041.381348,2778.48877,538.5164795,565.6854248,0,3405.877197,100,8063,8063,8063,8063,8063
5338,1654,463188.31,101206.55,1726,6,2,1927-10-13,2005-10-13,1927-10-13,wood,0,single,94,2013-02-05,2,floor,0,66.5,70,1927-10-13,1927-10-13,2,19840.61523,141.4213562,291,300,3000,2863.564209,500,860.2325439,100,3000,360.5551147,31162,2672,31162,31162,31162
5339,1834,463188.31,101206.55,1726,6,2,1927-10-13,2005-10-13,1927-10-13,wood,0,single,94,2011-12-14,1,floor,0,40.9,43.1,1927-10-13,1927-10-13,1,19840.61523,141.4213562,291,300,3000,2863.564209,500,860.2325439,100,3000,360.5551147,30743,2253,30743,30743,30743
5340,3277,463014,102660,2636,10,4,2002-10-13,2002-10-13,2002-10-13,concrete,1,single,47,2012-01-10,5,floor,0,35.7,52.4,2002-10-13,2002-10-13,5,18432.85156,223.6067963,298,100,1788.85437,1655.294556,900,1964.688232,0,1835.755981,1612.451538,3376,3376,3376,3376,3376
5341,1492,463014,102660,2636,10,4,2002-10-13,2002-10-13,2002-10-13,concrete,1,single,47,2013-04-15,5,floor,1,128.7,156.9,2002-10-13,2002-10-13,5,18432.85156,223.6067963,298,100,1788.85437,1655.294556,900,1964.688232,0,1835.755981,1612.451538,3837,3837,3837,3837,3837
5342,3746,463134.27,102560.96,2636,11,1,2002-10-13,2002-10-13,2002-10-13,concrete,1,single,82,2011-12-02,3,floor,0,29.1,32.2,2002-10-13,2002-10-13,3,18553.97461,223.6067963,297,100,1838.477661,1708.800781,800,1969.771606,100,1878.829468,1476.4823,3337,3337,3337,3337,3337
5343,2244,463134.27,102560.96,2636,11,1,2002-10-13,2002-10-13,2002-10-13,concrete,1,single,82,2009-01-21,5,floor,0,31.2,34,2002-10-13,2002-10-13,5,18553.97461,223.6067963,297,100,1838.477661,1708.800781,800,1969.771606,100,1878.829468,1476.4823,2292,2292,2292,2292,2292
5344,2821,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2008-12-16,3,floor,0,22.3,24.9,1966-10-13,1966-10-13,3,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,15405,15405,15405,15405,15405
5345,3004,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2012-01-31,8,floor,0,22.3,24.9,1966-10-13,1966-10-13,8,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,16546,16546,16546,16546,16546
5346,2556,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2011-05-30,17,floor,0,22.3,24.9,1966-10-13,1966-10-13,17,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,16300,16300,16300,16300,16300
5347,3587,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2008-06-16,5,floor,0,22.3,24.9,1966-10-13,1966-10-13,5,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,15222,15222,15222,15222,15222
5348,2511,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2012-02-14,10,floor,0,22.3,24.9,1966-10-13,1966-10-13,10,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,16560,16560,16560,16560,16560
5349,2422,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2012-02-07,16,floor,0,22.3,24.9,1966-10-13,1966-10-13,16,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,16553,16553,16553,16553,16553
5350,2601,460997.37,102732.76,1739,25,3,1966-10-13,1966-10-13,1966-10-13,combination_of_different_materials,1,single,134,2010-11-19,17,floor,0,22.3,24.9,1966-10-13,1966-10-13,17,17961.06836,141.4213562,302,100,1526.433716,1431.782104,500,412.3105774,0,3224.903076,1600,16108,16108,16108,16108,16108
5351,2240,462885.04,102007.56,2636,8,1,1990-10-13,1990-10-13,1990-10-13,brick,1,other,13,2009-10-09,2,floor,0,34.2,38.8,1990-10-13,1990-10-13,2,18993.15625,360.5551147,289,300,2376.9729,2247.220459,300,1523.154663,282.8427124,2416.609131,1044.03064,6936,6936,6936,6936,6936
5352,2345,459993.82,103244.77,1739,6,2,1970-10-13,1970-10-13,1970-10-13,concrete,0,single,30,2013-04-25,2,ground_floor,0,29,32.6,1970-10-13,1970-10-13,2,17356.55469,0,305,300,721.1102295,608.2762451,1000,632.4555054,538.5164795,3401.470215,721.1102295,15535,15535,15535,15535,15535
5353,2982,462620.76,98466.23,1695,3,1,2004-10-13,2004-10-13,2004-10-13,brick,0,single,7,2009-09-30,1,floor,0,50.3,71.8,2004-10-13,2004-10-13,1,22360.67969,0,288,700,1118.033936,721.1102295,894.4271851,1220.655518,900,1341.640747,300,1813,1813,1813,1813,1813
5354,1550,462358.92,99530.99,1722,3,1,1897-10-13,2001-10-13,1998-10-13,brick,0,single,12,2010-05-07,1,floor,0,48.4,58.4,1997-10-13,1997-10-13,1,21323.46094,223.6067963,289,300,1655.294556,1389.244385,509.901947,640.312439,565.6854248,2376.9729,100,41113,3128,4224,4589,4589
5355,3299,460190.23,103690.66,1738,15,2,1969-10-13,1969-10-13,2006-10-13,concrete,1,single,105,2012-05-15,6,floor,0,19.7,29.2,1969-10-13,1969-10-13,6,16876.01758,100,306,100,300,200,565.6854248,1170.469971,100,3052.867432,1204.159424,15555,15555,2041,15555,15555
