"ID_building","price_m2","easting","northing","ID_cadas_com","floors_total","floor_entrance","year_built","year_ren_roof","year_ren_face","constr_type","elevator","house_type","no_appart","trans_date","floor_appartment","postion_type","duplex","living_area","total_area","year_ren_wind","year_ren_inst","floor_above_ground","dist_airport","dist_public_transport","elevation","dist_schools","dist_highway_entr","dist_highway","dist_railway","dist_recreation","dist_main_roads","dist_regional_roads","dist_river","construct_age","roof_age","facade_age","inst_age","windows_age"
3239,2772,459170.98,100207.15,"1723",4,1,1988-10-13,2006-10-13,1988-10-13,"2","0","4",17,2010-07-15,3,"3","0",40.4,44.4,1988-10-13,1988-10-13,3,20308.865234375,200,307,400,1118.03393554688,921.954467773438,500,921.954467773438,632.455505371094,921.954467773438,300,7945,1371,7945,7945,7945
3240,3266,465032.85,101360.02,"1730",16,1,1969-10-13,2011-10-13,1998-10-13,"2","1","1",92,2010-09-03,1,"3","0",19.9,19.9,2005-10-13,1969-10-13,1,20238.576171875,223.606796264648,284,100,1780.44934082031,1700,400,989.949523925781,100,1802.77563476562,0,14935,14935,4343,14935,1786
3241,2952,462550.16,102452.46,"2636",8,3,1996-10-13,1996-10-13,1996-10-13,"2","1","1",31,2012-02-19,5,"3","1",106.7,135,1996-10-13,1996-10-13,5,18515.3984375,141.421356201172,300,100,2109.50219726562,2039.60778808594,700,1431.78210449219,100,2280.35083007812,1400,5607,5607,5607,5607,5607
3242,2605,461566.8,102756.79,"1740",6,2,1964-10-13,1964-10-13,1964-10-13,"1","0","2",20,2012-02-09,2,"3","0",40.3,49.8,1964-10-13,1964-10-13,2,18034.689453125,424.264068603516,302,200,1802.77563476562,1700,100,721.110229492188,100,2801.78515625,1627.88208007812,17285,17285,17285,17285,17285
3243,2039,462657.57,100791.49,"1727",4,2,1860-10-13,1860-10-13,1860-10-13,"5","0","1",8,2010-06-01,1,"3","0",51.5,66.2,1860-10-13,1860-10-13,1,20101.990234375,100,294,0,2973.2138671875,2692.58251953125,761.577331542969,360.555114746094,300,3551.05615234375,100,54652,54652,54652,54652,54652
3244,2147,459887.22,103784.08,"1738",5,1,1971-10-13,2005-10-13,2009-10-13,"7","0","3",32,2010-10-11,3,"3","0",24.3,27.6,1971-10-13,1971-10-13,3,16750.521484375,316.227752685547,307,200,300,0,761.577331542969,1204.15942382812,316.227752685547,2817.80053710938,948.683288574219,14243,1824,363,14243,14243
3245,3226,462319.2,100198.43,"1728",6,1,1963-10-13,1963-10-13,1963-10-13,"1","0","1",29,2012-01-31,2,"3","0",24.8,24.9,2000-10-13,2000-10-13,2,20634.4375,223.606796264648,292,300,2308.67919921875,2024.845703125,608.276245117188,223.606796264648,0,3036.4453125,200,17642,17642,17642,4127,4127
3246,2429,460250.92,103616.22,"1739",16,1,1967-10-13,2004-10-13,2005-10-13,"2","1","1",132,2012-09-24,4,"3","0",24.7,30.2,1967-10-13,1967-10-13,4,16975.5703125,141.421356201172,306,0,400,300,632.455505371094,1077.03295898438,141.421356201172,3138.47094726562,1131.37084960938,16418,2903,2538,16418,16418
3247,2995,459188.54,107793.24,"1753",4,1,1970-10-13,1970-10-13,1970-10-13,"1","0","1",8,2010-05-11,1,"3","1",55.1,74.5,2001-10-13,2001-10-13,1,12714.1650390625,500,301,100,854.400390625,360.555114746094,1140.17541503906,2102.37963867188,1581.13879394531,500,300,14455,14455,14455,3132,3132
3248,1882,462284.28,102446.08,"2636",9,1,1963-10-13,1963-10-13,1963-10-13,"2","1","4",128,2011-04-21,3,"3","0",77.8,89.7,1963-10-13,1963-10-13,3,18474.306640625,0,300,100,2137.755859375,2088.06127929688,600,1236.931640625,0,2408.31884765625,1403.56689453125,17357,17357,17357,17357,17357
